participant_id,block,trial,image_name,posX,posY,image_stem,base_name,set,category
p035,1,1,happy_1.jpg,217.5,415,happy_1,happy,1,emotions
p035,1,1,happy_2.jpg,229,506,happy_2,happy,2,emotions
p035,1,1,angry_2.jpg,218.5,613.5,angry_2,angry,2,emotions
p035,1,1,sad_1.jpg,302.5,636.5,sad_1,sad,1,emotions
p035,1,1,fearful_2.jpg,319,150,fearful_2,fearful,2,emotions
p035,1,1,surprise_2.jpg,654,246,surprise_2,surprise,2,emotions
p035,1,1,disgust_2.jpg,487,350,disgust_2,disgust,2,emotions
p035,1,1,surprise_1.jpg,853.5,349.5,surprise_1,surprise,1,emotions
p035,1,1,sad_2.jpg,668.5,133,sad_2,sad,2,emotions
p035,1,1,angry_1.jpg,655.5,523,angry_1,angry,1,emotions
p035,1,1,fearful_1.jpg,794,615,fearful_1,fearful,1,emotions
p035,1,1,disgust_1.jpg,1030.5,473,disgust_1,disgust,1,emotions
p035,1,2,angry_3.jpg,225.5,440.5,angry_3,angry,3,emotions
p035,1,2,sad_4.jpg,1156,133,sad_4,sad,4,emotions
p035,1,2,happy_3.jpg,681.5,639.5,happy_3,happy,3,emotions
p035,1,2,fearful_3.jpg,338.5,667,fearful_3,fearful,3,emotions
p035,1,2,fearful_4.jpg,498,667,fearful_4,fearful,4,emotions
p035,1,2,disgust_3.jpg,405.5,354.5,disgust_3,disgust,3,emotions
p035,1,2,sad_3.jpg,647,455.5,sad_3,sad,3,emotions
p035,1,2,happy_4.jpg,778.5,206,happy_4,happy,4,emotions
p035,1,2,surprise_4.jpg,927.5,474.5,surprise_4,surprise,4,emotions
p035,1,2,surprise_3.jpg,621.5,262.5,surprise_3,surprise,3,emotions
p035,1,2,disgust_4.jpg,676.5,505,disgust_4,disgust,4,emotions
p035,1,2,angry_4.jpg,766.5,412.5,angry_4,angry,4,emotions
p035,2,3,lion_1.jpg,380,530,lion_1,lion,1,animals
p035,2,3,wolf_1.jpg,293.5,362,wolf_1,wolf,1,animals
p035,2,3,squirrel_1.jpg,300,624,squirrel_1,squirrel,1,animals
p035,2,3,dolphin_1.jpg,492,246,dolphin_1,dolphin,1,animals
p035,2,3,peacock_1.jpg,507.5,448.5,peacock_1,peacock,1,animals
p035,2,3,ladybug_1.jpg,829.5,299,ladybug_1,ladybug,1,animals
p035,2,3,sheep_1.jpg,853,595,sheep_1,sheep,1,animals
p035,2,3,horse_1.jpg,1165,482.5,horse_1,horse,1,animals
p035,2,3,pigeon_1.jpg,666,148.5,pigeon_1,pigeon,1,animals
p035,2,3,fox_1.jpg,609.5,506,fox_1,fox,1,animals
p035,2,3,fish_1.jpg,605,325.5,fish_1,fish,1,animals
p035,2,3,butterfly_1.jpg,975,406.5,butterfly_1,butterfly,1,animals
p035,2,4,fox_2.jpg,316,422,fox_2,fox,2,animals
p035,2,4,pigeon_2.jpg,237,134.5,pigeon_2,pigeon,2,animals
p035,2,4,peacock_2.jpg,267,608.5,peacock_2,peacock,2,animals
p035,2,4,lion_2.jpg,464,293,lion_2,lion,2,animals
p035,2,4,sheep_2.jpg,844.5,475.5,sheep_2,sheep,2,animals
p035,2,4,horse_2.jpg,858,143,horse_2,horse,2,animals
p035,2,4,ladybug_2.jpg,1017,287.5,ladybug_2,ladybug,2,animals
p035,2,4,squirrel_2.jpg,711,641,squirrel_2,squirrel,2,animals
p035,2,4,fish_2.jpg,583,178,fish_2,fish,2,animals
p035,2,4,butterfly_2.jpg,624,399.5,butterfly_2,butterfly,2,animals
p035,2,4,wolf_2.jpg,1164,667,wolf_2,wolf,2,animals
p035,2,4,dolphin_2.jpg,411.5,133,dolphin_2,dolphin,2,animals
p035,3,5,broccoli_1.jpg,500.5,562.5,broccoli_1,broccoli,1,plants
p035,3,5,leaf_1.jpg,526.5,383,leaf_1,leaf,1,plants
p035,3,5,peanut_1.jpg,355,174,peanut_1,peanut,1,plants
p035,3,5,grass_1.jpg,933,346.5,grass_1,grass,1,plants
p035,3,5,acorn_1.jpg,692,624.5,acorn_1,acorn,1,plants
p035,3,5,cactus_1.jpg,601,170,cactus_1,cactus,1,plants
p035,3,5,tree_1.jpg,1038.5,627,tree_1,tree,1,plants
p035,3,5,flower_1.jpg,1149.5,232.5,flower_1,flower,1,plants
p035,3,5,apple_1.jpg,873,133,apple_1,apple,1,plants
p035,3,5,cabbage_1.jpg,717,370,cabbage_1,cabbage,1,plants
p035,3,5,cherry_1.jpg,360.5,638.5,cherry_1,cherry,1,plants
p035,3,5,blueberry_1.jpg,305,411,blueberry_1,blueberry,1,plants
p035,3,6,tree_2.jpg,471,658.5,tree_2,tree,2,plants
p035,3,6,cactus_2.jpg,445,529,cactus_2,cactus,2,plants
p035,3,6,grass_2.jpg,449,394,grass_2,grass,2,plants
p035,3,6,broccoli_2.jpg,397,251.5,broccoli_2,broccoli,2,plants
p035,3,6,cabbage_2.jpg,912,561,cabbage_2,cabbage,2,plants
p035,3,6,acorn_2.jpg,766,228,acorn_2,acorn,2,plants
p035,3,6,flower_2.jpg,1064.5,204,flower_2,flower,2,plants
p035,3,6,cherry_2.jpg,635,664.5,cherry_2,cherry,2,plants
p035,3,6,leaf_2.jpg,584.5,133,leaf_2,leaf,2,plants
p035,3,6,peanut_2.jpg,237.5,623.5,peanut_2,peanut,2,plants
p035,3,6,apple_2.jpg,302,391.5,apple_2,apple,2,plants
p035,3,6,blueberry_2.jpg,223,165.5,blueberry_2,blueberry,2,plants
p037,1,1,flower_1.jpg,233.5,182.5,flower_1,flower,1,plants
p037,1,1,cactus_1.jpg,303.5,226.5,cactus_1,cactus,1,plants
p037,1,1,cherry_1.jpg,702,575,cherry_1,cherry,1,plants
p037,1,1,peanut_1.jpg,570,549.5,peanut_1,peanut,1,plants
p037,1,1,apple_1.jpg,808.5,566.5,apple_1,apple,1,plants
p037,1,1,blueberry_1.jpg,872,574.5,blueberry_1,blueberry,1,plants
p037,1,1,tree_1.jpg,365.5,205.5,tree_1,tree,1,plants
p037,1,1,broccoli_1.jpg,221.5,587,broccoli_1,broccoli,1,plants
p037,1,1,leaf_1.jpg,414,217,leaf_1,leaf,1,plants
p037,1,1,cabbage_1.jpg,268,554.5,cabbage_1,cabbage,1,plants
p037,1,1,acorn_1.jpg,518.5,552,acorn_1,acorn,1,plants
p037,1,1,grass_1.jpg,239,290,grass_1,grass,1,plants
p037,1,2,cherry_2.jpg,291.5,617,cherry_2,cherry,2,plants
p037,1,2,broccoli_2.jpg,216.5,348.5,broccoli_2,broccoli,2,plants
