participant_id,block,trial,image_name,posX,posY,image_stem,base_name,set,category
p003,2,6,happy_2.jpg,3,5,happy_2,happy,2,emotions
p003,2,6,sad_1.jpg,8,1,sad_1,sad,1,emotions
p003,2,6,sad_2.jpg,6,6,sad_2,sad,2,emotions
p003,2,6,surprise_1.jpg,9,6,surprise_1,surprise,1,emotions
p003,2,6,surprise_2.jpg,5,3,surprise_2,surprise,2,emotions
p004,1,1,butterfly_2.jpg,6,2,butterfly_2,butterfly,2,animals
p004,1,1,dolphin_2.jpg,9,4,dolphin_2,dolphin,2,animals
p004,1,1,fish_2.jpg,9,5,fish_2,fish,2,animals
p004,1,1,fox_2.jpg,9,1,fox_2,fox,2,animals
p004,1,1,horse_2.jpg,4,3,horse_2,horse,2,animals
p004,1,1,ladybug_2.jpg,2,5,ladybug_2,ladybug,2,animals
p004,1,1,lion_2.jpg,9,2,lion_2,lion,2,animals
p004,1,1,peacock_2.jpg,1,2,peacock_2,peacock,2,animals
p004,1,1,pigeon_2.jpg,6,3,pigeon_2,pigeon,2,animals
p004,1,1,sheep_2.jpg,1,3,sheep_2,sheep,2,animals
p004,1,1,squirrel_2.jpg,2,4,squirrel_2,squirrel,2,animals
p004,1,1,wolf_2.jpg,4,2,wolf_2,wolf,2,animals
p004,1,2,acorn_2.jpg,1,5,acorn_2,acorn,2,plants
p004,1,2,apple_2.jpg,6,1,apple_2,apple,2,plants
p004,1,2,blueberry_2.jpg,7,1,blueberry_2,blueberry,2,plants
p004,1,2,broccoli_2.jpg,4,1,broccoli_2,broccoli,2,plants
p004,1,2,cabbage_2.jpg,8,1,cabbage_2,cabbage,2,plants
p004,1,2,cactus_2.jpg,1,6,cactus_2,cactus,2,plants
p004,1,2,cherry_2.jpg,5,1,cherry_2,cherry,2,plants
p004,1,2,flower_2.jpg,4,2,flower_2,flower,2,plants
p004,1,2,grass_2.jpg,4,5,grass_2,grass,2,plants
p004,1,2,leaf_2.jpg,4,4,leaf_2,leaf,2,plants
p004,1,2,peanut_2.jpg,1,4,peanut_2,peanut,2,plants
p004,1,2,tree_2.jpg,4,3,tree_2,tree,2,plants
p004,1,3,angry_3.jpg,10,2,angry_3,angry,3,emotions
p004,1,3,angry_4.jpg,9,2,angry_4,angry,4,emotions
p004,1,3,disgust_3.jpg,2,2,disgust_3,disgust,3,emotions
p004,1,3,disgust_4.jpg,8,2,disgust_4,disgust,4,emotions
p004,1,3,fearful_3.jpg,4,1,fearful_3,fearful,3,emotions
p004,1,3,fearful_4.jpg,9,1,fearful_4,fearful,4,emotions
p004,1,3,happy_3.jpg,6,1,happy_3,happy,3,emotions
p004,1,3,happy_4.jpg,7,1,happy_4,happy,4,emotions
p004,1,3,sad_3.jpg,4,2,sad_3,sad,3,emotions
p004,1,3,sad_4.jpg,3,2,sad_4,sad,4,emotions
p004,1,3,surprise_3.jpg,5,1,surprise_3,surprise,3,emotions
p004,1,3,surprise_4.jpg,8,1,surprise_4,surprise,4,emotions
p004,2,4,butterfly_1.jpg,1,5,butterfly_1,butterfly,1,animals
p004,2,4,dolphin_1.jpg,10,6,dolphin_1,dolphin,1,animals
p004,2,4,fish_1.jpg,10,5,fish_1,fish,1,animals
p004,2,4,fox_1.jpg,10,4,fox_1,fox,1,animals
