index	image	Word	uniqueID	display_label	recognizability_answer	recognizability_RT	recognizability_N-ratings	recognizability_N-correct	recognizability_N-most-common	recognizability_most-common-label	recognizability	recognizability_homonyms	recognizability_close	nameability_N-ratings	nameability_alternative-label	nameability_label1	nameability_label1_moreEdit	nameability_label2	nameability_most-frequent-rating	nameability_naming-consistency	nameability	nameability_SE	nameability_SE-naming-consistency	memorability_cr
9213	fox/fox_09s.jpg	fox	fox	fox	fox, fox, fox, fox, fox, fox, fox, fox, wolf, fox, fox, fox, fox, fox, fox	15337, 6311 7374, 1735, 11170, 2249 7725, 2509, 7530, 3377, 6792, 7790, 4533, 9893, 2533,	15	14	14	fox	0.933333333	0.933333333	0.933333333	16.0	nan	fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox	fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox	nan	fox	1.0	1.0	0.0	0.0	0.794871795
9208	fox/fox_04s.jpg	fox	fox	fox	wolf, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox	66398, 93837, 4393, 3705, 2851 4546, 7701, 6948, 5398, 5828, 2413, 4478, 3900, 2079, 19410,	15	14	14	fox	0.933333333	0.933333333	0.933333333	18.0	nan	coyote, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox	coyote, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox	rocks	fox	0.944444444	0.944444444	0.053990295	0.053990295	0.95
9210	fox/fox_06s.jpg	fox	fox	fox	fox, owl, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox	4676, 4877, 2569, 2863, 25419, 3251, 3405, 8408 4358, 4960, 11200, 12067, 5081, 3068, 4819,	15	14	14	fox	0.933333333	0.933333333	0.933333333	17.0	nan	fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, ox	fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, ox	grass	fox	0.941176471	0.941176471	0.057067206	0.057067206	0.85
9209	fox/fox_05s.jpg	fox	fox	fox	fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, dog, fox, fox	21816, 7139, 3912, 38893, 2522 2280, 6157, 6334, 4202, 5925, 2394, 5295 4772, 2731, 3227,	15	14	14	fox	0.933333333	0.933333333	0.933333333	20.0	nan	fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, ox, red fo	fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, ox, red fo	grass	fox	0.9	0.9	0.067082039	0.067082039	0.75
26745	fox.jpg	fox	fox	fox	fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, wolf, fox, fox, fox, fox	10214, 2493, 6860, 4410, 5633, 3847, 4169, 5079, 16688, 10415, 4789, 9768, 4390, 3763, 5819,	15	14	14	fox	0.933333333	0.933333333	0.933333333	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9207	fox/fox_03s.jpg	fox	fox	fox	fox, fox, fox, fox, wolf, fox, fox, fox, fox, fox, fox, fox, fox	2788, 2998, 22792, 55949, 7217, 3798, 3067, 4663, 2899 53261, 3786, 4973, 3958,	13	12	12	fox	0.923076923	0.923076923	0.923076923	19.0	nan	dog, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, object, wolf	dog, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, object, wolf	grass	fox	0.842105263	0.842105263	0.083654675	0.083654675	0.813953488
9211	fox/fox_07s.jpg	fox	fox	fox	fox, fox, fox, fox, fox, fox, fox, cat, fox, fox, fox	3606, 8178, 54311, 2782, 2507, 4654, 5634, 11933, 4295 3219, 4376,	11	10	10	fox	0.909090909	0.909090909	0.909090909	17.0	nan	fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox	fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox	rock	fox	1.0	1.0	0.0	0.0	0.744186047
9220	fox/fox_16s.jpg	fox	fox	fox	fox, cat, fox, fox, dog, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox	6161, 5485, 3725, 6245, 4795, 3371, 3087, 22715, 6475, 12855, 37353, 7483, 3370, 7147, 3752 2394,	16	14	14	fox	0.875	0.875	0.875	17.0	nan	fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, timber wolf	fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, timber wolf	nan	fox	0.941176471	0.941176471	0.057067206	0.057067206	0.853658537
9218	fox/fox_14s.jpg	fox	fox	fox	fox, fox, wolf, fox, fox, fox, dog, fox, fox, fox, fox, fox, fox, fox, fox	4560 5048, 4990, 9476, 5213, 3368, 9269, 2443, 2545, 4110, 5742, 3290, 2947 2649, 3497,	15	13	13	fox	0.866666667	0.866666667	0.866666667	19.0	nan	dog, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox	dog, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox	sw	fox	0.947368421	0.947368421	0.051227817	0.051227817	0.80952381
9205	fox/fox_01b.jpg	fox	fox	fox	fox, fox, fox, fox, fox, red carpet, fox, fox, wolf, wolf, fox, fox, fox, fox, fox, fox, fox	5322, 2522, 12022, 11933 3575, 30139, 8987, 4096, 9446, 9895, 6901, 4456, 6891 4905, 7112, 4048, 4145,	17	14	14	fox	0.823529412	0.823529412	0.823529412	19.0	nan	coyote, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox	coyote, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox	nan	fox	0.947368421	0.947368421	0.051227817	0.051227817	0.8
9215	fox/fox_11s.jpg	fox	fox	fox	wolf, fox, fox, fox, fox, fox, fox, jacket, dog, fox, fox, fox, fox, fox	6378, 6501, 2940, 4538, 6151, 6053, 5422, 8637, 11285, 6614, 4525, 3234, 8344, 2844	14	11	11	fox	0.785714286	0.785714286	0.785714286	18.0	nan	fo, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox	fo, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox	grass	fox	0.944444444	0.944444444	0.053990295	0.053990295	0.780487805
9214	fox/fox_10s.jpg	fox	fox	fox	fox, fox, fox, fox, fox, wolf, fox, dog, fox, fox, dog, fox, fox, dog	2939, 19400, 3918, 7267, 1928, 5625, 8120, 7716, 6835, 2880, 5838, 12830, 6304, 5481,	14	10	10	fox	0.714285714	0.714285714	0.714285714	20.0	nan	fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, wolf, wolf	fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, fox, wolf, wolf	sw	fox	0.9	0.9	0.067082039	0.067082039	0.85
